SettlementPoint,AveragePrice,Year,Month
LZ_AEN,19.324663978494623,2016,1
LZ_AEN,15.448290229885057,2016,2
LZ_AEN,16.85507402422611,2016,3
LZ_AEN,18.256069444444446,2016,4
LZ_AEN,18.124905913978495,2016,5
LZ_AEN,24.237513888888888,2016,6
LZ_AEN,27.976102150537635,2016,7
LZ_AEN,30.699516129032258,2016,8
LZ_AEN,26.71086111111111,2016,9
LZ_AEN,25.62290322580645,2016,10
LZ_AEN,19.640041666666665,2016,11
LZ_AEN,25.870174731182797,2016,12
LZ_AEN,23.404475806451615,2017,1
LZ_AEN,20.60532738095238,2017,2
LZ_AEN,22.99701211305518,2017,3
LZ_AEN,24.118083333333335,2017,4
LZ_AEN,25.293844086021505,2017,5
LZ_AEN,27.91663888888889,2017,6
LZ_AEN,31.40143817204301,2017,7
LZ_AEN,27.465618279569892,2017,8
LZ_AEN,24.628805555555555,2017,9
LZ_AEN,24.019905913978494,2017,10
LZ_AEN,23.019444444444446,2017,11
LZ_AEN,21.06293010752688,2017,12
LZ_AEN,38.83798387096774,2018,1
LZ_AEN,21.91388392857143,2018,2
LZ_AEN,22.202826379542397,2018,3
LZ_AEN,22.18848611111111,2018,4
LZ_AEN,33.16616935483871,2018,5
LZ_AEN,30.286125,2018,6
LZ_AEN,78.95137096774194,2018,7
LZ_AEN,31.732137096774192,2018,8
LZ_AEN,27.167305555555554,2018,9
LZ_AEN,30.31,2018,10
LZ_AEN,30.468083333333333,2018,11
LZ_AEN,30.094758064516128,2018,12
LZ_AEN,25.107956989247313,2019,1
LZ_AEN,21.513809523809524,2019,2
LZ_AEN,27.742180349932706,2019,3
LZ_AEN,23.270347222222224,2019,4
LZ_AEN,24.676236559139785,2019,5
LZ_AEN,24.41679166666667,2019,6
LZ_AEN,29.709086021505374,2019,7
LZ_AEN,126.52692204301076,2019,8
LZ_AEN,80.16959722222222,2019,9
LZ_AEN,29.280443548387098,2019,10
LZ_AEN,24.40801388888889,2019,11
LZ_AEN,19.05170698924731,2019,12
LZ_CPS,19.353844086021507,2016,1
LZ_CPS,15.520014367816092,2016,2
LZ_CPS,16.898183041722746,2016,3
LZ_CPS,19.06936111111111,2016,4
LZ_CPS,18.47986559139785,2016,5
LZ_CPS,24.958069444444444,2016,6
LZ_CPS,27.967956989247313,2016,7
LZ_CPS,31.306572580645163,2016,8
LZ_CPS,28.13025,2016,9
LZ_CPS,26.25029569892473,2016,10
LZ_CPS,21.714666666666666,2016,11
LZ_CPS,26.596424731182797,2016,12
LZ_CPS,23.772567204301076,2017,1
LZ_CPS,20.919479166666665,2017,2
LZ_CPS,23.861547779273216,2017,3
LZ_CPS,25.337902777777778,2017,4
LZ_CPS,26.53702956989247,2017,5
LZ_CPS,30.416,2017,6
LZ_CPS,32.11529569892473,2017,7
LZ_CPS,28.137567204301074,2017,8
LZ_CPS,25.136652777777776,2017,9
LZ_CPS,25.27595430107527,2017,10
LZ_CPS,23.572569444444444,2017,11
LZ_CPS,22.048373655913977,2017,12
LZ_CPS,41.31287634408602,2018,1
LZ_CPS,22.51739583333333,2018,2
LZ_CPS,25.289273216689097,2018,3
LZ_CPS,26.535375,2018,4
LZ_CPS,36.05559139784946,2018,5
LZ_CPS,30.72727777777778,2018,6
LZ_CPS,79.12443548387097,2018,7
LZ_CPS,31.86568548387097,2018,8
LZ_CPS,27.51298611111111,2018,9
LZ_CPS,31.635967741935485,2018,10
LZ_CPS,32.04120833333333,2018,11
LZ_CPS,30.309220430107526,2018,12
LZ_CPS,26.798333333333332,2019,1
LZ_CPS,24.110119047619047,2019,2
LZ_CPS,29.351695827725436,2019,3
LZ_CPS,25.36359722222222,2019,4
LZ_CPS,26.246075268817204,2019,5
LZ_CPS,26.391291666666667,2019,6
LZ_CPS,30.66717741935484,2019,7
LZ_CPS,127.69620967741936,2019,8
LZ_CPS,82.43634722222222,2019,9
LZ_CPS,33.553602150537635,2019,10
LZ_CPS,25.57513888888889,2019,11
LZ_CPS,19.997862903225805,2019,12
LZ_HOUSTON,19.56393817204301,2016,1
LZ_HOUSTON,15.487988505747126,2016,2
LZ_HOUSTON,17.206729475100943,2016,3
LZ_HOUSTON,19.128930555555556,2016,4
LZ_HOUSTON,19.90399193548387,2016,5
LZ_HOUSTON,29.91508333333333,2016,6
LZ_HOUSTON,29.91186827956989,2016,7
LZ_HOUSTON,33.56354838709677,2016,8
LZ_HOUSTON,29.032680555555554,2016,9
LZ_HOUSTON,28.54581989247312,2016,10
LZ_HOUSTON,20.437680555555556,2016,11
LZ_HOUSTON,25.736841397849464,2016,12
LZ_HOUSTON,24.82736559139785,2017,1
LZ_HOUSTON,23.51721726190476,2017,2
LZ_HOUSTON,28.742005383580082,2017,3
LZ_HOUSTON,32.96706944444445,2017,4
LZ_HOUSTON,32.36264784946236,2017,5
LZ_HOUSTON,33.66891666666667,2017,6
LZ_HOUSTON,34.725833333333334,2017,7
LZ_HOUSTON,30.031478494623656,2017,8
